id;brand_name;model_name;screen_size;memory;storage;screen_brightness;screen_refresh_hz;price
1;optical mobile program;connect Licensed Avon;86221;74125;36774;39869;46418;83490
2;blue Car Direct;Soft;59935;6227;47129;65566;99064;75429
3;Way;Unbranded Oklahoma;23678;65740;82936;67247;18549;26234
4;TCP PCI Yen;copy;42008;53640;83107;97980;83480;80339
5;expedite quantifying;Ergonomic Steel;57832;37453;95955;65268;38074;12609
6;Sausages FTP wireless;orchid Buckinghamshire;58794;51626;54298;97967;18455;73070
7;Congo multi-byte USB;Berkshire time-frame;35992;21412;51358;50941;92945;56344
8;Pataca;connect Garden;11983;46158;43544;52597;23400;42598
9;Rustic neutral Enhanced;RSS real-time e-markets;59169;77504;48855;77401;39227;46469
10;Global;fault-tolerant leverage;59030;51891;59912;30010;73407;7444
