id;answer_1_used_at;answer_2_type;answer_3_size;answer_4_function;answer_5_price
1;Representative XSS Rhode;architect;69686;Ohio Concrete Gloves;51398
2;Manager solutions content-based;Kwacha;76799;withdrawal;76311
3;Mouse Paradigm;payment Up-sized;71704;Health port;91795
4;turn-key calculating;azure enterprise;31346;Chair indigo Ohio;92799
5;Tanzanian Knoll;Handmade;54642;Checking paradigm deposit;23781
6;Creative;bypass compressing Soap;16242;Card Wyoming;66861
7;Guatemala;Borders;90803;hacking;23437
8;Metal Mews Advanced;Egyptian port;41000;engineer;83536
9;payment Tuna;Hill;59494;yellow full-range;24274
10;Profit-focused;Agent;78882;implement Expanded;4649
